Date,Close,t,log_close,t_squared,date,month,year,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
2014-01-01,6,1,1.791759469228055,1,2014-01-01,Jan,2014,False,False,False,False,True,False,False,False,False,False,False,False
2014-02-01,6,2,1.791759469228055,4,2014-02-01,Feb,2014,False,False,False,True,False,False,False,False,False,False,False,False
2014-03-01,6,3,1.791759469228055,9,2014-03-01,Mar,2014,False,False,False,False,False,False,False,True,False,False,False,False
2014-04-01,6,4,1.791759469228055,16,2014-04-01,Apr,2014,True,False,False,False,False,False,False,False,False,False,False,False
2014-05-01,5,5,1.6094379124341003,25,2014-05-01,May,2014,False,False,False,False,False,False,False,False,True,False,False,False
2014-06-01,5,6,1.6094379124341003,36,2014-06-01,Jun,2014,False,False,False,False,False,False,True,False,False,False,False,False
2014-07-01,6,7,1.791759469228055,49,2014-07-01,Jul,2014,False,False,False,False,False,True,False,False,False,False,False,False
2014-08-01,5,8,1.6094379124341003,64,2014-08-01,Aug,2014,False,True,False,False,False,False,False,False,False,False,False,False
2014-09-01,5,9,1.6094379124341003,81,2014-09-01,Sep,2014,False,False,False,False,False,False,False,False,False,False,False,True
2014-10-01,5,10,1.6094379124341003,100,2014-10-01,Oct,2014,False,False,False,False,False,False,False,False,False,False,True,False
2014-11-01,6,11,1.791759469228055,121,2014-11-01,Nov,2014,False,False,False,False,False,False,False,False,False,True,False,False
2014-12-01,5,12,1.6094379124341003,144,2014-12-01,Dec,2014,False,False,True,False,False,False,False,False,False,False,False,False
2015-01-01,5,13,1.6094379124341003,169,2015-01-01,Jan,2015,False,False,False,False,True,False,False,False,False,False,False,False
2015-02-01,6,14,1.791759469228055,196,2015-02-01,Feb,2015,False,False,False,True,False,False,False,False,False,False,False,False
2015-03-01,6,15,1.791759469228055,225,2015-03-01,Mar,2015,False,False,False,False,False,False,False,True,False,False,False,False
2015-04-01,6,16,1.791759469228055,256,2015-04-01,Apr,2015,True,False,False,False,False,False,False,False,False,False,False,False
2015-05-01,5,17,1.6094379124341003,289,2015-05-01,May,2015,False,False,False,False,False,False,False,False,True,False,False,False
2015-06-01,5,18,1.6094379124341003,324,2015-06-01,Jun,2015,False,False,False,False,False,False,True,False,False,False,False,False
2015-07-01,6,19,1.791759469228055,361,2015-07-01,Jul,2015,False,False,False,False,False,True,False,False,False,False,False,False
2015-08-01,6,20,1.791759469228055,400,2015-08-01,Aug,2015,False,True,False,False,False,False,False,False,False,False,False,False
2015-09-01,5,21,1.6094379124341003,441,2015-09-01,Sep,2015,False,False,False,False,False,False,False,False,False,False,False,True
2015-10-01,6,22,1.791759469228055,484,2015-10-01,Oct,2015,False,False,False,False,False,False,False,False,False,False,True,False
2015-11-01,5,23,1.6094379124341003,529,2015-11-01,Nov,2015,False,False,False,False,False,False,False,False,False,True,False,False
2015-12-01,5,24,1.6094379124341003,576,2015-12-01,Dec,2015,False,False,True,False,False,False,False,False,False,False,False,False
2016-01-01,5,25,1.6094379124341003,625,2016-01-01,Jan,2016,False,False,False,False,True,False,False,False,False,False,False,False
2016-02-01,5,26,1.6094379124341003,676,2016-02-01,Feb,2016,False,False,False,True,False,False,False,False,False,False,False,False
2016-03-01,6,27,1.791759469228055,729,2016-03-01,Mar,2016,False,False,False,False,False,False,False,True,False,False,False,False
2016-04-01,6,28,1.791759469228055,784,2016-04-01,Apr,2016,True,False,False,False,False,False,False,False,False,False,False,False
2016-05-01,5,29,1.6094379124341003,841,2016-05-01,May,2016,False,False,False,False,False,False,False,False,True,False,False,False
2016-06-01,6,30,1.791759469228055,900,2016-06-01,Jun,2016,False,False,False,False,False,False,True,False,False,False,False,False
2016-07-01,5,31,1.6094379124341003,961,2016-07-01,Jul,2016,False,False,False,False,False,True,False,False,False,False,False,False
2016-08-01,5,32,1.6094379124341003,1024,2016-08-01,Aug,2016,False,True,False,False,False,False,False,False,False,False,False,False
2016-09-01,4,33,1.3862943611198906,1089,2016-09-01,Sep,2016,False,False,False,False,False,False,False,False,False,False,False,True
2016-10-01,4,34,1.3862943611198906,1156,2016-10-01,Oct,2016,False,False,False,False,False,False,False,False,False,False,True,False
2016-11-01,4,35,1.3862943611198906,1225,2016-11-01,Nov,2016,False,False,False,False,False,False,False,False,False,True,False,False
2016-12-01,4,36,1.3862943611198906,1296,2016-12-01,Dec,2016,False,False,True,False,False,False,False,False,False,False,False,False
2017-01-01,4,37,1.3862943611198906,1369,2017-01-01,Jan,2017,False,False,False,False,True,False,False,False,False,False,False,False
2017-02-01,4,38,1.3862943611198906,1444,2017-02-01,Feb,2017,False,False,False,True,False,False,False,False,False,False,False,False
2017-03-01,5,39,1.6094379124341003,1521,2017-03-01,Mar,2017,False,False,False,False,False,False,False,True,False,False,False,False
